Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.state.pos_spd_e.v2
11568,11.567981,0.0520897806,0.00416436605,4.55885792,9.42833138
11569,11.568982,0.0487620607,0.00258112419,4.55907917,1.13180053
11570,11.569986,0.0495119579,0.00529390946,4.55908489,0.135864168
11571,11.570982,0.0466588102,-0.00372054754,4.55908489,0.0163094755
11572,11.571986,0.0495295674,-0.00117687043,4.55908489,0.00195783027
11573,11.572982,0.0508829169,0.00241200393,4.55908489,0.000235022846
11574,11.573984,0.0507364608,0.000575288665,4.55908489,2.82127312e-05
11575,11.574996,0.0510469824,-0.00222206395,4.55908489,3.3867268e-06
11576,11.575985,0.0522538647,-0.000469906488,4.55908489,4.06551152e-07
11577,11.576986,0.0496760309,0.000659846235,4.55908489,4.88034182e-08
11578,11.577985,0.0508833565,0.00240269303,4.56956959,9.42686272
11579,11.578986,0.0501329564,-0.000310156262,4.56979084,1.13162422
11580,11.579985,0.0469353236,0.0064148875,4.56979656,0.135843009
11581,11.580986,0.0548314005,-0.00160990795,4.56979656,0.0163069349
11582,11.581985,0.0502797589,0.00152652618,4.56979656,0.00195752527
11583,11.582986,0.0516501702,-0.00135564199,4.56979656,0.000234986233
11584,11.583985,0.0489257388,-0.002062093,4.56979656,2.82083347e-05
11585,11.584981,0.0517969728,0.000481045805,4.56979656,3.38619907e-06
11586,11.585999,0.0511933677,-0.000394919189,4.56979656,4.064878e-07
11587,11.586983,0.0473921262,0.00545416679,4.56979656,4.87958118e-08
11588,11.587984,0.0502800345,0.00151732145,4.58028507,9.42833138
11589,11.588983,0.0470988564,0.00177199114,4.58050632,1.13180053
11590,11.589984,0.0531669371,-0.00241106143,4.58051205,0.135864168
11591,11.590983,0.0511932895,-0.00040449365,4.58051205,0.0163094755
11592,11.591984,0.0563633144,-0.00913670845,4.58051205,0.00195783027
11593,11.592983,0.0537707061,-0.00153521053,4.58051205,0.000235022846
11594,11.593984,0.0493819751,-0.00303205382,4.58051205,2.82127312e-05
11595,11.594984,0.0470988564,0.00177198625,4.58051205,3.3867268e-06
11596,11.595981,0.050721474,0.00702709891,4.58051205,4.06551152e-07
11597,11.596996,0.0499713533,0.00430544047,4.59099865,9.42686272
11598,11.597984,0.0483070537,0.00351466076,4.59122181,1.13162422
11599,11.598985,0.0481595658,0.00167802651,4.59122562,0.135843009
